date,target_group,value,population
2026-04-25,Pediatrics,87,4921958
2026-05-02,Adults,125,14194251
2026-05-02,Overall,226,19116209
2026-05-02,Pediatrics,101,4921958
2026-05-09,Adults,115,14194251
2026-05-09,Overall,188,19116209
2026-05-09,Pediatrics,73,4921958
2026-05-16,Adults,143,14194251
2026-05-16,Overall,245,19116209
2026-05-16,Pediatrics,102,4921958
2026-05-23,Adults,149,14194251
2026-05-23,Overall,242,19116209
2026-05-23,Pediatrics,93,4921958
2026-05-30,Adults,133,14194251
2026-05-30,Overall,224,19116209
2026-05-30,Pediatrics,91,4921958
2026-06-06,Adults,169,14194251
2026-06-06,Overall,289,19116209
2026-06-06,Pediatrics,120,4921958
2026-06-13,Adults,126,14194251
2026-06-13,Overall,227,19116209
2026-06-13,Pediatrics,101,4921958
